Sale_ID,Customer_ID,Car_ID,Sale_Date,Quantity,Sale_Price,Payment_Method,Salesperson,Brand,Model,Year,Color,Engine_Type,Transmission,Price,Quantity_In_Stock,Status,First Name,Last Name,Gender,Age,Job Role,Phone,Email,City,State,Region,Sale_Date_Parsed,Month,DayOfWeek,Sale_Year
S00011,CU1361,C0014,2023-02-14,2,60687.78,Credit,Molly Charles,Toyota,RAV4,2024,Silver,Hybrid,Automatic,97512.33,18,Reserved,Mr,Vasquez,Female,46,Ai Specialist,1-581-460-2738,mariah88@hotmail.com,West Brooksprings,Hawaii,West,2023-02-14,2,2,2023
S00012,CU1155,C0163,2025-08-18,3,60037.64,Cash,John Kemp,Tesla,Model X,2020,Gray,Diesel,Manual,46277.93,17,Reserved,Jennifer,Hernandez,Male,39,Devops Engineer,1-628-709-5307,nunezcynthia@gmail.com,Heritagevalley,California,West,2025-08-18,8,1,2025
S00013,CU1392,C0302,2023-03-23,3,46668.56,Installment,Brian Austin,Mercedes,C-Class,2022,Black,Electric,Automatic,78237.97,14,Sold,Nicole,Walker,Male,65,Training Specialist,1-565-943-8437,richardsonjeffrey@yahoo.com,Sunrisepines,Tennessee,South,2023-03-23,3,4,2023
S00014,CU1229,C0451,2022-12-28,1,34807.99,Credit,Ronald Harmon,Toyota,Corolla,2020,Black,Electric,Manual,71681.32,5,Reserved,Albert,Martin,Male,27,Radiologic Technologist,1-633-247-5197,yesenia32@gmail.com,Woodcenter,New Hampshire,Northeast,2022-12-28,12,3,2022
S00015,CU0436,C0176,2024-02-22,3,18527.23,Credit,Dr. Lee Davis PhD,BMW,3 Series,2022,Black,Hybrid,Manual,95524.52,6,Reserved,Erin,Maldonado,Male,43,Psychologist,1-518-546-9993,bradleyjose@hotmail.com,Onyxford,Oklahoma,South,2024-02-22,2,4,2024
S00016,CU1355,C0324,2025-08-14,1,15500.29,Installment,Michael Hernandez,Nissan,Sunny,2017,White,Petrol,Automatic,49935.47,11,Sold,Mrs,Lloyd,Male,26,Dermatologist,1-924-787-4621,harperlori@yahoo.com,Mount Silverview,California,West,2025-08-14,8,4,2025
S00017,CU1241,C0386,2025-05-23,2,63125.22,Credit,Jon King,Toyota,Corolla,2018,Gray,Diesel,Automatic,29727.24,1,Sold,Valerie,Harris,Female,70,Lab Instructor,1-275-684-3835,owenslisa@gmail.com,New Cedarmeadows,South Dakota,Midwest,2025-05-23,5,5,2025
S00018,CU1280,C0260,2023-04-10,2,55074.32,Cash,Jonathan Woods,Tesla,Model S,2024,Black,Hybrid,Automatic,75764.51,2,Sold,Katrina,Parsons,Male,59,Office Manager,1-908-367-3907,alexander85@nelson-mccarthy.com,Quartzside,New Jersey,Northeast,2023-04-10,4,1,2023
S00019,CU1102,C0165,2025-04-30,3,66402.96,Credit,Margaret Jones,Tesla,Model S,2016,Gray,Petrol,Manual,64280.26,17,Reserved,Caleb,Fisher,Female,38,Dermatologist,1-637-231-1436,mary36@gmail.com,Lake Seasideharbor,Alaska,West,2025-04-30,4,3,2025
S00020,CU1017,C0343,2025-05-27,2,66795.37,Cash,Erika Atkinson,Nissan,Sunny,2019,Red,Hybrid,Manual,83159.71,19,Sold,Kimberly,Wright,Male,26,Research Assistant,1-694-857-2814,miguelsanders@hotmail.com,Eaglevalley,Kentucky,South,2025-05-27,5,2,2025
S00021,CU0845,C0050,2025-06-15,3,34194.9,Installment,Kevin Howard,Mercedes,C-Class,2024,Red,Diesel,Manual,88724.54,16,Reserved,Dr,Price,Female,50,Process Engineer,1-610-209-1926,april13@gmail.com,Fort Summitpark,Vermont,Northeast,2025-06-15,6,7,2025
S00022,CU0145,C0276,2025-10-06,3,82650.53,Installment,Daniel Olson,Nissan,Sunny,2025,Blue,Petrol,Automatic,50703.33,4,Reserved,Michelle,Brown,Male,29,Clinical Research Coordinator,1-507-307-4653,ellischarles@yahoo.com,Valleycorner,Vermont,Northeast,2025-10-06,10,1,2025
S00023,CU1526,C0280,2023-07-13,3,30023.38,Credit,Joel Martinez,Tesla,Model 3,2015,Blue,Electric,Automatic,15390.95,18,Reserved,Gail,Dds,Male,31,Packaging Engineer,1-950-287-7175,imartin@hotmail.com,West Sierraharbor,Montana,West,2023-07-13,7,4,2023
S00024,CU1117,C0208,2025-07-25,2,90218.32,Cash,Lisa Johnson,BMW,3 Series,2024,Blue,Electric,Automatic,43449.6,12,Reserved,Victoria,Espinoza,Male,68,School Counselor,1-229-737-4431,robindean@hotmail.com,West Clearjunction,Kentucky,South,2025-07-25,7,5,2025
S00025,CU0813,C0447,2023-12-13,3,20706.91,Cash,Brittany Anderson,Hyundai,Tucson,2017,White,Hybrid,Automatic,96124.81,13,Reserved,Reginald,Chan,Male,50,Training Specialist,1-470-773-5442,lori91@hotmail.com,Lake Redwoodfield,Illinois,Midwest,2023-12-13,12,3,2023
S00026,CU0761,C0335,2025-03-05,3,26311.74,Installment,Billy Baird,Tesla,Model X,2018,White,Diesel,Manual,65420.55,19,Available,Anthony,Joseph,Female,65,Machine Learning Engineer,1-243-904-9421,driley@smith.com,Lake Forestdale,Hawaii,West,2025-03-05,3,3,2025
S00027,CU0318,C0157,2025-02-26,1,78872.95,Installment,Bradley Smith,Mercedes,E-Class,2024,Silver,Hybrid,Manual,54478.11,5,Available,Natalie,Sellers,Female,19,Qa Engineer,1-520-527-3371,harrismichelle@smith-turner.com,Glenplains,Louisiana,South,2025-02-26,2,3,2025
S00028,CU1026,C0101,2025-01-11,2,41063.38,Installment,James Webb,Mercedes,GLA,2015,Silver,Hybrid,Manual,75529.64,11,Sold,Dr,Miles,Female,67,Brand Ambassador,1-266-334-9026,figueroasteven@gmail.com,Willowburgh,Montana,West,2025-01-11,1,6,2025
S00029,CU0521,C0173,2024-09-04,1,91986.69,Cash,Deborah Sullivan,Toyota,Camry,2020,Blue,Petrol,Automatic,57344.63,10,Available,Crystal,Colon,Male,44,Physician,1-357-891-4206,mbennett@hotmail.com,North Creekcity,Massachusetts,Northeast,2024-09-04,9,3,2024
S00030,CU0926,C0235,2024-10-30,2,16920.05,Cash,Ashley Hogan,Kia,Seltos,2024,Silver,Petrol,Automatic,40425.82,2,Sold,Dr,Jefferson,Female,64,Medical Assistant,1-301-684-4645,ashlee51@gmail.com,Canyonmouth,Montana,West,2024-10-30,10,3,2024
S00031,CU1198,C0231,2023-11-16,2,23320.89,Credit,Jason Ortiz,Toyota,Camry,2024,White,Petrol,Manual,41318.81,17,Available,Todd,Blake,Male,70,Librarian,1-915-796-2748,perrymary@guerrero.org,Mount Victorycenter,West Virginia,South,2023-11-16,11,4,2023
S00032,CU1031,C0148,2025-03-11,1,88621.82,Credit,Alexis Rodriguez,Toyota,RAV4,2015,Gray,Diesel,Manual,60714.01,13,Reserved,John,Williams,Male,47,Database Administrator,1-649-744-5016,rosesamantha@floyd-johnson.com,Lake Highlandside,New Mexico,West,2025-03-11,3,2,2025
S00033,CU0650,C0003,2023-10-19,2,61078.91,Cash,Scott Anderson,Nissan,Qashqai,2018,Blue,Electric,Automatic,50158.13,20,Available,Jeffery,Lewis,Female,49,Database Administrator,1-885-405-5866,chapmanjason@santos.com,Junipercenter,Wyoming,West,2023-10-19,10,4,2023
S00034,CU0536,C0337,2025-04-26,3,85287.18,Credit,John Liu,Nissan,Qashqai,2018,Black,Electric,Automatic,26411.09,20,Available,Kristen,Brown,Female,42,Actuary,1-762-208-7860,ericbaker@yahoo.com,Port Topazwoods,Oklahoma,South,2025-04-26,4,6,2025
S00035,CU1251,C0476,2024-06-21,1,46381.61,Installment,Maureen Sims,Toyota,Corolla,2025,Blue,Hybrid,Automatic,98034.8,9,Available,Melissa,Banks,Female,70,Customer Service Representative,1-946-900-9249,xchandler@yahoo.com,Saint Ambercenter,Alabama,South,2024-06-21,6,5,2024
S00036,CU0138,C0359,2025-02-06,2,24594.51,Installment,Elizabeth Gomez,BMW,X5,2022,Red,Petrol,Manual,95666.26,2,Available,Joshua,Crawford,Male,69,Training Specialist,1-963-218-8948,tgalvan@simmons-walton.com,Granitecove,Pennsylvania,Northeast,2025-02-06,2,4,2025
S00037,CU1936,C0466,2023-08-02,2,58239.58,Cash,Clarence Shaw,Mercedes,E-Class,2015,White,Petrol,Manual,31162.29,5,Reserved,Jeremy,Simmons,Female,61,Medical Assistant,1-816-975-8582,robertsdavid@hotmail.com,Baymouth,Oklahoma,South,2023-08-02,8,3,2023
S00038,CU1142,C0196,2024-06-24,1,28600.57,Credit,Lisa Scott,Hyundai,Elantra,2021,Red,Petrol,Automatic,44101.03,14,Available,Kevin,Brown,Female,39,Loan Officer,1-520-785-5676,jilllee@ball-alvarez.com,Lake Lakesidecorner,Tennessee,South,2024-06-24,6,1,2024
S00039,CU1936,C0482,2025-03-19,3,86245.8,Installment,Molly Olson,Toyota,Camry,2018,Black,Hybrid,Manual,47304.02,3,Reserved,Jeremy,Simmons,Female,61,Medical Assistant,1-816-975-8582,robertsdavid@hotmail.com,Baymouth,Oklahoma,South,2025-03-19,3,3,2025
S00040,CU0680,C0433,2025-09-03,1,54485.38,Installment,James Combs,Nissan,Altima,2015,Gray,Hybrid,Manual,72226.72,3,Sold,Derek,Smith,Male,40,Retail Trainer,1-737-782-4576,morganmaxwell@yahoo.com,Ambermouth,New Jersey,Northeast,2025-09-03,9,3,2025
S00041,CU0329,C0017,2024-05-17,1,27260.61,Credit,Nicole Martin,Nissan,Qashqai,2018,Silver,Petrol,Automatic,30585.94,2,Reserved,Jennifer,Bryant,Female,35,Ui/Ux Designer,1-528-853-2169,rachellewis@may-davis.info,Fort Rivercreek,New Hampshire,Northeast,2024-05-17,5,5,2024
S00042,CU1752,C0263,2023-06-05,3,55112.22,Installment,Kristen Cummings,Hyundai,Sonata,2022,White,Hybrid,Manual,82694.4,16,Sold,Whitney,Martin,Female,46,Systems Analyst,1-957-684-1813,epetersen@gmail.com,Bayfalls,Alaska,West,2023-06-05,6,1,2023
S00043,CU1563,C0237,2024-05-23,2,25490.41,Installment,Barry Hancock,Mercedes,GLA,2018,Blue,Hybrid,Manual,92692.93,6,Reserved,Ricardo,Allen,Male,25,Materials Planner,1-757-419-1440,upitts@gmail.com,Fort Fairgrove,Illinois,Midwest,2024-05-23,5,4,2024
S00044,CU1454,C0109,2023-01-08,3,28885.18,Installment,Jerry Clayton,Toyota,RAV4,2022,White,Electric,Manual,97204.59,0,Reserved,Rachel,Dvm,Female,26,Credit Analyst,1-223-219-8000,jeremy79@bolton-cameron.com,Forestpines,Arkansas,South,2023-01-08,1,7,2023
S00045,CU1943,C0282,2024-09-07,1,96872.63,Installment,Michael Kim,Mercedes,E-Class,2017,Blue,Hybrid,Automatic,68812.78,14,Reserved,Troy,Clark,Female,35,Training Specialist,1-735-574-8667,kevin74@taylor.biz,Stonebridgeharbor,Texas,South,2024-09-07,9,6,2024
S00046,CU0988,C0452,2023-06-04,3,86184.69,Cash,Erica Duarte,BMW,X5,2021,Silver,Electric,Manual,96580.7,11,Available,Jesus,Wolfe,Male,54,Ai Specialist,1-660-549-7416,lgarcia@hotmail.com,Riveraport,Pennsylvania,Northeast,2023-06-04,6,7,2023
S00047,CU0027,C0123,2023-09-04,1,15742.7,Cash,Lisa Thompson,Mercedes,E-Class,2021,White,Petrol,Automatic,23630.56,19,Reserved,Patricia,Armstrong,Male,63,Physical Therapist,1-838-861-7784,watsonkatherine@gmail.com,Thundermeadows,Nebraska,Midwest,2023-09-04,9,1,2023
S00048,CU0218,C0223,2023-01-05,2,54596.63,Credit,Ryan Rogers,Tesla,Model S,2020,White,Petrol,Manual,66030.95,5,Reserved,Kyle,Wallace,Male,44,Production Supervisor,1-676-308-8699,ystephens@yahoo.com,South Harborharbor,Louisiana,South,2023-01-05,1,4,2023
S00049,CU1891,C0464,2023-12-24,2,41594.57,Cash,Manuel Williams,Hyundai,Elantra,2023,White,Hybrid,Manual,71865.37,0,Sold,Jason,Solomon,Male,64,Executive Assistant,1-446-735-2584,nicholasgutierrez@jones.net,South Silversquare,South Dakota,Midwest,2023-12-24,12,7,2023
S00050,CU0473,C0430,2025-08-25,1,43961.19,Installment,Scott Cooper,Nissan,Sunny,2017,Red,Diesel,Automatic,21393.33,6,Reserved,Elizabeth,Diaz,Male,68,Machine Learning Engineer,1-259-328-3726,oscarcohen@yahoo.com,Sunnyport,Minnesota,Midwest,2025-08-25,8,1,2025
S00051,CU0368,C0063,2023-05-28,3,44495.82,Installment,Amanda Sparks,Kia,Seltos,2019,Red,Diesel,Manual,83221.84,16,Sold,Casey,Stevens,Female,34,Occupational Therapist,1-335-685-9899,carol46@taylor.com,Woodtown,Louisiana,South,2023-05-28,5,7,2023
S00052,CU0480,C0454,2023-01-09,2,87401.35,Installment,Michael Washington,Tesla,Model 3,2016,Black,Petrol,Manual,56316.6,3,Reserved,Kimberly,Robbins,Female,60,Radiologic Technologist,1-376-930-3504,michael97@hill-burton.com,West Coralbluffs,New Jersey,Northeast,2023-01-09,1,1,2023
S00053,CU1387,C0252,2023-11-21,3,82094.53,Installment,Melvin Pope,Kia,Seltos,2015,Blue,Electric,Manual,65579.25,4,Available,Kim,Rodriguez,Female,42,Devops Engineer,1-260-535-3021,alexandriawinters@gardner-shaw.com,Fort Summitport,Oregon,West,2023-11-21,11,2,2023
S00054,CU0550,C0114,2022-12-07,3,60514.12,Credit,Gregory Washington,Hyundai,Tucson,2024,Blue,Hybrid,Manual,63367.44,16,Available,Ashley,Holt,Male,51,Technical Writer,1-946-772-3015,pameladelacruz@hotmail.com,Saint Elmcommons,Wyoming,West,2022-12-07,12,3,2022
S00055,CU1705,C0107,2023-12-27,3,44281.88,Cash,Timothy Williams,Hyundai,Tucson,2021,Gray,Electric,Automatic,46740.58,14,Sold,Michelle,Watkins,Male,20,It Project Manager,1-247-315-5113,smithsean@leon.info,Mount Longbay,California,West,2023-12-27,12,3,2023
S00056,CU0057,C0189,2025-03-26,1,36971.49,Credit,Mr. Mario Hernandez,BMW,3 Series,2020,Blue,Electric,Manual,66184.26,9,Available,Fernando,Lopez,Female,61,Credit Analyst,1-394-875-8418,lsimpson@gmail.com,Auroraport,Connecticut,Northeast,2025-03-26,3,3,2025
S00057,CU1003,C0182,2023-05-24,2,65085.02,Cash,Amanda James,Kia,Cerato,2018,Silver,Diesel,Manual,94592.91,16,Available,Timothy,West,Female,48,Product Manager,1-782-972-6865,bmejia@allen-williams.com,Uniondale,Arizona,West,2023-05-24,5,3,2023
S00057,CU1003,C0182,2023-05-24,2,65085.02,Cash,Amanda James,Kia,Cerato,2018,Silver,Diesel,Manual,94592.91,16,Available,Timothy,West,Female,48,Product Manager,1-782-972-6865,bmejia@allen-williams.com,Uniondale,Arizona,West,2023-05-24,5,3,2023
S00058,CU0487,C0077,2024-09-03,2,59716.75,Cash,Amanda Johnson,Toyota,RAV4,2018,Black,Electric,Automatic,37286.07,7,Sold,William,Mclaughlin,Female,30,Product Manager,1-690-829-3268,malonefrank@robinson.com,Port Seasidedale,Oregon,West,2024-09-03,9,2,2024
S00059,CU1471,C0236,2023-05-06,2,69039.52,Credit,Kimberly Schroeder,Mercedes,GLA,2019,Silver,Electric,Manual,99664.31,14,Sold,Anthony,Wolfe,Female,29,Project Coordinator,1-318-591-7676,zavaladonna@yahoo.com,Skymeadows,Massachusetts,Northeast,2023-05-06,5,6,2023
S00060,CU1643,C0273,2023-01-09,2,47679.46,Installment,Kevin Gonzalez,Mercedes,GLA,2019,Silver,Hybrid,Automatic,97569.91,16,Available,Christopher,Taylor,Male,56,Maintenance Technician,1-665-273-6232,mark51@eaton-nguyen.info,Fort Forestmead,Texas,South,2023-01-09,1,1,2023
S00061,CU0201,C0055,2023-01-09,2,86073.67,Cash,Jessica Sandoval,BMW,X5,2015,Blue,Diesel,Automatic,77348.2,16,Available,Richard,Moses,Female,58,Web Developer,1-720-341-7473,chelsea55@yahoo.com,Thundercenter,Alabama,South,2023-01-09,1,1,2023
S00062,CU0360,C0018,2025-01-21,2,32339.5,Cash,Yolanda Howard,Nissan,Qashqai,2016,Black,Petrol,Manual,71104.74,15,Reserved,Lori,Maldonado,Female,29,Actuary,1-397-237-5835,spencer05@gmail.com,Onyxpines,Georgia,South,2025-01-21,1,2,2025
S00063,CU1141,C0301,2025-03-28,3,63628.45,Cash,James Adams,BMW,X5,2022,Black,Petrol,Automatic,86538.68,17,Available,Brittany,Davenport,Male,68,E-Commerce Specialist,1-637-348-9207,macktravis@hotmail.com,New Littleoaks,South Dakota,Midwest,2025-03-28,3,5,2025
S00064,CU1401,C0499,2025-04-19,3,83399.31,Credit,Kimberly Carter,Tesla,Model 3,2025,Blue,Diesel,Manual,59691.91,14,Reserved,Paul,Garcia,Male,56,Floor Supervisor,1-811-617-1933,gcordova@yahoo.com,East Brighthills,Alabama,South,2025-04-19,4,6,2025
S00065,CU0879,C0323,2025-04-06,2,41831.58,Installment,Sandra Alvarado,Kia,Sportage,2021,Gray,Electric,Manual,58060.85,12,Sold,Zachary,Evans,Female,52,Dermatologist,1-302-923-1556,michellecross@yahoo.com,Quartzplains,New Hampshire,Northeast,2025-04-06,4,7,2025
S00066,CU0826,C0113,2024-03-08,3,47019.87,Installment,Angela Torres,Toyota,RAV4,2024,White,Diesel,Automatic,35194.67,6,Available,John,Gaines,Male,51,Psychologist,1-554-841-1852,deborah70@santiago.com,Highlandview,Montana,West,2024-03-08,3,5,2024
S00067,CU0691,C0047,2025-09-22,2,62600.77,Cash,Austin Johnson,Tesla,Model S,2019,White,Electric,Manual,37412.17,7,Available,Paula,Reid,Male,20,Mobile App Developer,1-510-546-4202,elizabethjensen@hotmail.com,North Canyoncreek,South Dakota,Midwest,2025-09-22,9,1,2025
S00068,CU1088,C0338,2023-11-24,1,46030.82,Installment,Elizabeth Morrow,Nissan,Sunny,2023,Red,Hybrid,Automatic,90237.8,1,Sold,Elizabeth,Gonzalez,Male,37,Manufacturing Engineer,1-922-883-2751,nicholas87@hartman-cherry.com,South Rockpeaks,Pennsylvania,Northeast,2023-11-24,11,5,2023
S00069,CU1456,C0414,2025-09-20,3,42075.89,Credit,David Summers,BMW,X5,2018,Red,Electric,Manual,75830.05,0,Available,David,Parker,Female,56,Shift Supervisor,1-571-518-9702,nallen@stewart-smith.com,Sunrisesprings,Colorado,West,2025-09-20,9,6,2025
S00070,CU1431,C0239,2025-02-09,2,92096.1,Credit,Jeffrey Salinas,Toyota,Camry,2019,Blue,Electric,Automatic,84197.99,14,Available,Christina,Johnson,Male,50,Executive Assistant,1-375-572-2236,linda03@griffin.com,Mount Vistameadows,New Mexico,West,2025-02-09,2,7,2025
S00071,CU0461,C0464,2023-12-17,3,46237.32,Credit,Tim Harris,Hyundai,Elantra,2023,White,Hybrid,Manual,71865.37,0,Sold,Stanley,Castillo,Female,52,Payroll Specialist,1-361-552-7023,gardnermatthew@hotmail.com,Lake Elmmeadows,Hawaii,West,2023-12-17,12,7,2023
S00072,CU0585,C0424,2024-01-16,3,91637.1,Credit,Bianca Price,Nissan,Qashqai,2020,Blue,Petrol,Manual,70388.78,9,Available,Kristin,Owens,Female,32,It Support Specialist,1-387-511-2377,vrobertson@harris-turner.com,Lake Wildflowercorner,Ohio,Midwest,2024-01-16,1,2,2024
S00073,CU1279,C0347,2023-07-13,2,61290.03,Credit,Thomas Smith,Nissan,Sunny,2023,Black,Petrol,Manual,51599.71,18,Reserved,Lori,Fernandez,Female,57,Project Coordinator,1-796-419-7351,huffmanmark@clark.com,Port Bridgewaterfalls,New Hampshire,Northeast,2023-07-13,7,4,2023
S00074,CU1528,C0477,2025-01-14,3,62848.91,Credit,Isaac Cox,Nissan,Sunny,2016,Gray,Electric,Automatic,63023.81,17,Sold,Katrina,Lopez,Female,18,Healthcare Administrator,1-664-656-3450,patriciahughes@hotmail.com,Riveraridge,Nevada,West,2025-01-14,1,2,2025
S00075,CU1080,C0060,2023-08-31,2,96661.06,Credit,James Wilkins,Toyota,Corolla,2023,Silver,Diesel,Manual,99129.16,1,Reserved,Yvonne,Davis,Male,41,Investment Banker,1-410-472-5748,berrylori@hotmail.com,West Stonepines,New Jersey,Northeast,2023-08-31,8,4,2023
S00076,CU0824,C0031,2024-12-16,3,77832.61,Credit,Steven Morgan,Mercedes,E-Class,2016,Silver,Petrol,Automatic,66365.92,5,Reserved,Tracy,Johnson,Female,33,Investment Banker,1-778-758-5096,jamesscott@cruz-ayers.net,Port Grandstation,Mississippi,South,2024-12-16,12,1,2024
S00077,CU1066,C0154,2023-04-27,2,16960.36,Cash,Barbara Cameron,Tesla,Model 3,2018,Silver,Petrol,Manual,41195.2,19,Reserved,Kim,Wheeler,Female,24,Medical Laboratory Technician,1-992-869-8905,hendersonvincent@hotmail.com,Ridgeview,Kansas,Midwest,2023-04-27,4,4,2023
S00078,CU1957,C0281,2023-09-10,1,59740.43,Credit,Richard Lin,Tesla,Model S,2020,Black,Petrol,Manual,64085.76,0,Sold,Heather,Hernandez,Male,59,Full Stack Developer,1-588-889-7636,cabrerasteve@bryant-adams.com,Fort Wildflowerwoods,Connecticut,Northeast,2023-09-10,9,7,2023
S00079,CU0336,C0418,2024-05-11,1,30579.52,Installment,John Shaffer,Mercedes,E-Class,2024,Silver,Hybrid,Automatic,33747.3,17,Reserved,John,Ross,Male,31,Customer Service Representative,1-210-614-4664,reyeszachary@mitchell-thomas.com,South Silvergrove,Oklahoma,South,2024-05-11,5,6,2024
S00080,CU0240,C0378,2025-03-17,1,92463.6,Cash,Catherine Jackson,Kia,Cerato,2016,Gray,Petrol,Automatic,94187.85,13,Available,Patrick,Bass,Male,34,Product Manager,1-833-953-7902,stacycampbell@hotmail.com,West Pearlheights,South Carolina,South,2025-03-17,3,1,2025
S00081,CU0102,C0011,2023-04-28,2,46632.8,Cash,Jared Morris,Tesla,Model 3,2017,Silver,Electric,Automatic,17337.05,3,Available,Richard,Oliver,Female,25,Software Engineer,1-618-919-9887,lnorris@mann.com,North Parkport,Alaska,West,2023-04-28,4,5,2023
S00082,CU1861,C0056,2025-06-16,3,65431.15,Cash,Denise Sanders,Nissan,Sunny,2021,Gray,Diesel,Manual,65876.67,8,Available,Angela,Escobar,Male,34,Tutor,1-689-680-6813,enoble@reynolds-thornton.com,Silverpeaks,Hawaii,West,2025-06-16,6,1,2025
S00083,CU1789,C0252,2023-10-25,1,21662.58,Credit,Taylor Nguyen,Kia,Seltos,2015,Blue,Electric,Manual,65579.25,4,Available,Robert,Gonzales,Male,70,Retail Marketing Coordinator,1-851-542-6107,michaelthompson@medina-freeman.com,Sunsetpark,Rhode Island,Northeast,2023-10-25,10,3,2023
S00084,CU1413,C0202,2024-09-26,3,45159.79,Installment,Margaret Mckinney,Mercedes,C-Class,2018,Blue,Diesel,Automatic,35182.93,8,Sold,Jose,Butler,Male,63,Esl Instructor,1-288-650-8321,kaisergregory@hotmail.com,Lake Amberford,Illinois,Midwest,2024-09-26,9,4,2024
S00085,CU1996,C0072,2023-12-18,2,66692.85,Credit,Joanna Franklin,Mercedes,GLA,2016,Red,Electric,Manual,90776.35,5,Available,Joshua,Hale,Female,24,Assembly Line Worker,1-549-704-3859,kvasquez@hanna.info,East Ivoryridge,Virginia,South,2023-12-18,12,1,2023
S00086,CU1555,C0458,2023-01-16,3,97627.89,Installment,Jason Hickman,Nissan,Sunny,2022,Gray,Hybrid,Manual,21314.27,4,Sold,Nicholas,Cantrell,Male,45,Tutor,1-984-928-1697,brittneyhawkins@hernandez-martinez.com,Lake Pearlplains,California,West,2023-01-16,1,1,2023
S00087,CU0669,C0001,2024-09-25,2,34314.01,Cash,Annette Murray,Toyota,Camry,2023,Red,Petrol,Automatic,80338.15,6,Available,Willie,Baker,Male,43,Solutions Architect,1-533-518-1725,mariazamora@howe.com,Springmeadows,Maine,Northeast,2024-09-25,9,3,2024
S00088,CU1776,C0372,2025-05-06,1,39334.0,Installment,Sabrina Baxter,Hyundai,Tucson,2024,Black,Petrol,Manual,51461.64,1,Reserved,Jillian,Garcia,Male,46,Professor,1-203-587-5613,sbrown@mcgee.com,Saint Sierrameadows,Montana,West,2025-05-06,5,2,2025
S00089,CU0792,C0176,2024-10-17,1,74746.72,Credit,Colleen Brooks,BMW,3 Series,2022,Black,Hybrid,Manual,95524.52,6,Reserved,Jeremy,Dudley,Male,54,Personal Shopper,1-971-927-4029,darrell01@morrison.com,New Glenfalls,Tennessee,South,2024-10-17,10,4,2024
